#,Stack combination,Likely reason chosen,Main enterprise pain points,Risk level,Typical maturity profile
1,Databricks | Other | Native Databricks + Airflow,Databricks adopted as core engineering platform; Airflow added for broader orchestration; no enterprise-standard CI/CD yet,"Tooling fragmentation, weak standardization, unclear ownership between platform and orchestration, custom deployment patterns",High,Growing / semi-mature
2,Oracle | Git | Talend,Legacy Oracle estate with Talend already embedded; Git used mainly for source control,"Legacy lock-in, DBA dependency, weak modern automation, slow change processes",High,Legacy / conservative
3,Snowflake | GitLab | Generic FMC - Snowflake,GitLab is enterprise standard; framework added to structure Snowflake deployment,"Framework maintenance burden, custom logic, Snowflake object promotion complexity, limited standardization across teams",Medium,Mature but customized
4,Snowflake | GitLab | Airflow,"GitLab for governance, Airflow for broad enterprise orchestration","Split deployment/runtime ownership, secret management complexity, cross-tool integration overhead",Medium,Mature engineering organization
5,Azure Synapse | GitHub | Azure Data Factory,Azure-first runtime with GitHub-preferred development experience,"Split Microsoft/Azure vs GitHub operating model, permission complexity, weaker end-to-end standardization",Medium,Semi-mature
6,Databricks | Azure DevOps | Azure Data Factory,Strong Microsoft governance with Databricks as data platform,"Dual-tool orchestration/deployment complexity, platform integration overhead, notebook/job deployment inconsistency",Medium,Mature enterprise
7,Fabric | Azure DevOps | Azure Data Factory,Microsoft-aligned enterprise adopting Fabric but keeping existing Azure controls,"Transitional architecture, overlapping tools, unclear long-term standard",Medium,Transitioning
8,Snowflake | GitHub | Generic FMC - Snowflake,"Engineering prefers GitHub, but Snowflake needs extra deployment structure","Custom framework ownership, weaker enterprise release controls than more opinionated platforms",Medium,Semi-mature / engineering-led
9,Azure Synapse | Azure DevOps | Azure Data Factory,"Full Microsoft stack for governance, security, and platform consistency","Heavy process, slower delivery, complex artifact deployment, operational overhead",Low-Medium,Mature / centralized IT
10,Oracle | GitHub | Airflow,"Legacy Oracle retained, modern engineering/orchestration wrapped around it","Cultural mismatch between legacy DB ops and modern DevOps, DBA approvals, integration friction",High,Transitional legacy
11,Snowflake | Azure DevOps | Azure Data Factory,"Snowflake chosen as warehouse, Azure toolchain retained for enterprise control","Non-native toolchain around Snowflake, ownership split, integration and security complexity",Medium,Mature enterprise
12,Snowflake | Azure DevOps + SchemaChange | Airflow,Need stronger Snowflake migration discipline plus enterprise orchestration,"Coordination overhead, migration tooling gaps, split deployment and runtime responsibilities",Low-Medium,Mature / process-driven
13,Snowflake | Other + SchemaChange | Generic FMC - dbt,Hybrid stack built around transformation discipline rather than enterprise standardization,"Tool sprawl, inconsistent governance, custom ownership burden, support complexity",High,Fragmented / fast-growing
14,Snowflake | Other | Other,Fully custom or locally optimized setup; no enterprise standard in place,"High support risk, weak auditability, person dependency, hard onboarding",Very High,Immature / ad hoc
15,Microsoft SQL Server | No CI/CD | Talend,Legacy operational stack with manual deployment and established ETL tool,"Manual release risk, weak traceability, low repeatability, slow delivery",Very High,Legacy / low DevOps maturity
16,Snowflake | Azure DevOps | Talend,Snowflake introduced but Talend retained for integration; Azure DevOps is governance standard,"Split stack across old and new paradigms, fragmented ownership, non-cloud-native process",Medium-High,Transitional
17,Google BigQuery | Google Cloud Build | Airflow,GCP-native stack with managed/cloud-aligned deployment,"Skills scarcity outside GCP teams, separation between deployment and orchestration, multi-team IAM complexity",Medium,Mature cloud-native
18,Snowflake | No CI/CD | Airflow,Runtime orchestration prioritized before deployment maturity,"Environment drift, weak reproducibility, manual SQL deployment, poor auditability",High,Operationally focused but immature DevOps
19,Snowflake | GitHub | Other,"GitHub standardized, orchestration remains local/custom","Runtime inconsistency, poor supportability, lack of orchestration standard",High,Engineering-led / uneven maturity
20,Amazon Redshift | Unspecified | Unspecified,AWS-native or inherited platform with unclear surrounding delivery model,"Architectural ambiguity, undocumented process, support dependency on individuals",High,Unclear / possibly immature
21,Google BigQuery | GitLab | Airflow (Cloud Composer),"GitLab as enterprise SCM, Composer for managed orchestration in GCP","Cross-vendor governance complexity, IAM boundaries, orchestration still separate from deployment",Medium,Mature / federated
22,Databricks | Unspecified | Unspecified,"Databricks adopted quickly, surrounding CICD/orchestration not formalized yet","Notebook sprawl, weak promotion model, low standardization, person dependency",High,Early-stage / scaling
23,Microsoft SQL Server | Unspecified | Airflow,Legacy SQL Server with modernized scheduling/orchestration,"Manual DB deployments remain, DBA-centric change model, partial modernization only",High,Transitional legacy
24,Azure Synapse | Azure DevOps | ADF / Synapse Pipelines,"Enterprise staying fully in Azure, using both orchestration options pragmatically","Overlap between ADF and Synapse Pipelines, confusion in standards, duplicated patterns",Medium,Mature but architecturally messy
25,Snowflake | DataOps.live | Other,Need specialized Snowflake DevOps product for governance and release discipline,"Vendor dependency, added cost, enablement burden, orchestration still external",Low-Medium,Mature / governance-heavy
26,Fabric | Unspecified | ADF,Fabric introduced but ADF retained as known enterprise orchestrator,"Transitional overlap, unclear future state, double tooling",Medium,Early adoption / transitioning
27,Microsoft SQL Server | GitHub | Azure Data Factory,GitHub-led engineering around legacy Microsoft data platform,"DB deployment maturity often lags, mixed operating models, fragmented versioning",Medium-High,Transitional
28,Snowflake | GitHub | Azure Data Factory,"Engineering wants GitHub, enterprise operations stay Azure-native","Multi-vendor complexity, split ownership, secret/environment management overhead",Medium,Semi-mature / federated
29,Microsoft SQL Server | Unspecified | Unspecified,Inherited or low-maturity legacy platform,"Manual process, low traceability, high support risk, poor scalability",Very High,Immature / legacy
30,Snowflake | No CI/CD | Custom FMC,Custom control framework added before formal CICD maturity,"Framework hides process gaps, custom support burden, weak enterprise integration",High,Custom / semi-mature ops
31,SingleStore | GitHub | Airflow,Performance-driven platform with modern engineering stack,"Niche skills shortage, weaker enterprise standardization, custom deployment patterns",Medium-High,Specialized / engineering-led
32,Snowflake | Unspecified | Airflow,"Airflow standardized for runtime, CI/CD still weak or undefined","Inconsistent deployments, environment drift, weak change governance",High,Ops-first / immature CICD
33,Microsoft SQL Server | Azure DevOps | Azure Data Factory,Classic Microsoft enterprise alignment,"Heavy governance, DBA/process dependency, slower release cycles",Medium,Mature / centralized
34,Oracle | ODI | ODI,Oracle-centric enterprise with full vendor standardization,"Strong lock-in, weak flexibility, hard modernization, poor fit for cloud-native DevOps",Medium-High,Legacy / highly standardized
